question,answer
Bao lâu khám sức khỏe một lần?,Một năm các bạn được công ty hỗ trợ khám một lần.
Phụ phí độc hại khi lao động?,Công ty có hỗ trợ phụ phí cho bộ phận độc hại thêm một số tiền từ 1-10 triệu.
Tai nạn lao động?,Công ty chi trả toàn bộ viện phí cho những người không may bị tai nạn lao động
Ma chay hiếu hỉ?,Công ty không care nhé.
Thời gian nghỉ?,Nhà nước nghỉ sao thì công ty nghỉ như vậy thôi.
Lương thưởng khi nghỉ?,"Dĩ nhiên là có lương khi nghĩ lễ rồi, làm gì có công ty nào không lương đâu."
Chính sách sau sinh?,Thì chắc được một ít tiền để bot hỏi phòng nhân sự đã.
Nghỉ sinh được lâu không?,6-8 tháng thông thường là vây.
Nghỉ lễ mất lương không?,Không rồi.
Làm thêm ngày lễ?,"Về quê với mẹ với cha đi, người thân đang chờ, tiền bạc bao nhiêu cho đủ, gia đình mới là quan trọng nhất."
Làm sao nhận khen thưởng?,Thì ngoan là sẽ có thưởng
Mức khen thưởng bao nhiêu tiền?,AI mà biết được
Lương thực tập sinh?,3 triệu hai trăm ngàn một tháng sao đó/
Lương fresher?,Mới hóng được là đâu đó tầm 11-12 triệu một tháng
Lương Manager?,Chưa quen ai để hỏi cả nên chịu.
Lương phòng nhân sự?,Chắc thấp hơn bên phần mềm.
Lương phòng tài chính kế toán?,Không biết lương bao nhiêu.
Trang web công ty là gì?,Lên google search là được mà.
Nộp cho tôi,"Sẽ có một popup hiện lên thật vi diệu, ném CV vào đó."
